Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Enabled GHOST KITCHEN,Current Quantity GHOST KITCHEN,New Quantity GHOST KITCHEN,Stock Alert Enabled GHOST KITCHEN,Stock Alert Count GHOST KITCHEN,Price GHOST KITCHEN,Enabled Istanbul Mediterranean,Current Quantity Istanbul Mediterranean,New Quantity Istanbul Mediterranean,Stock Alert Enabled Istanbul Mediterranean,Stock Alert Count Istanbul Mediterranean,Price Istanbul Mediterranean,Modifier Set - Add Your Extras,Modifier Set - Choose Your Sauces (Served on the Side),Modifier Set - Choose Your Veggies,Modifier Set - Extra Pita,Modifier Set - Extra Protein
EDVE3SXXVOOASZ5S5UL24L5X,Baklava,Regular,,"Layered phyllo dough, generously drizzled with honey and filled with finely chopped pistachios, creating a sweet and crunchy dessert.","DESSERT, NEW ITEM",,Authentic Turkish Baklava - A Royal Dessert Experience from Istanbul Mediterranean,"Experience the rich, sweet, and flaky delight of authentic Turkish Baklava from Istanbul Mediterranean in Las Vegas. This traditional dessert, once served to royalty, brings joy to both body and spirit, transporting your taste buds to the vibrant landscapes of Turkey with every bite.",,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,Y,,,Y,,,,,,Y,,,,,,N,N,N,N,N
GUVSM7IMOCIHVC2M2A76ZIAM,Beef&Lamb Dõner (Shawarma) Rice Bowl,Regular,,"Tender slices of beef and lamb doner shawarma served over a bed of fluffy rice, accompanied by a medley of fresh vegetables and drizzled with a savory sauce.","RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ), RICE BOWLS (IDO6JTCI633SZK6UIZRWWMFQ)",RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ),Beef N Lamb Doner Rice Bowl - Authentic Mediterranean Delight from Istanbul Mediterranean Las Vegas,"Experience the taste of the Mediterranean with Istanbul Mediterranean's Beef N Lamb Doner Rice Bowl in Las Vegas. This dish combines flavorful Doner (Gyro), seasoned rice, fresh veggies, and your choice of signature sauces for a quick, delightful culinary journey in every bite.",beef_n_lamb_doner_rice_bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
E3X6ZVXIG5N523DU2ZYR55ZT,Beef&Lamb Döner (Shawarma) French Fries Bowl,Regular,,"A generous mix of Beef&Lamb Döner atop crispy fries, sprinkled with feta cheese. Customize with lettuce, tomatoes, onion, pickles, red cabbage or all veggies.","FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA), FRENCH FRIES BOWLS (RKHD4AFXLHUKNRYMFBDSGHUV)",FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA),Mediterranean-Style Beef N Lamb Doner French Fries Bowl - Istanbul Mediterranean Las Vegas,"Savor the unique flavors of Istanbul Mediterranean's Beef N Lamb Doner French Fries Bowl. Combining golden, crispy fries and succulent, spiced beef and lamb Shawarma with fresh vegetables and signature sauces, this dish offers a taste of the Mediterranean in Las Vegas. Enjoy a perfect balance of hearty, spicy, and fresh flavors in every bite.",beef_and_lamb_french_fries_bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
MGXKIJJ6M3IKA5SDAAIERYRR,Beef&Lamb Döner (Shawarma) Lavash Wrap,Regular,,"Enjoy our Beef& Lamb Doner Wrap, filled with fresh lettuce, tomatoes, onion with parsley mix, pickles, and succulent Beef Doner (Gyro/Shawarma). Choose from our range of signature sauces: House, White Tzatziki, Red Chili, Tahini. A mouthwatering Mediterranean experience in every bite.","LAVASH WRAPS > LAVASH WRAPS, LAVASH WRAPS",LAVASH WRAPS > LAVASH WRAPS,Flavorful Beef N Lamb Doner Wrap - Savory Shawarma Delight from Istanbul Mediterranean Las Vegas,"Experience the mouthwatering Beef N Lamb Doner Wrap - A Shawarma Delight from Istanbul Mediterranean Las Vegas. Packed with fresh lettuce, tomatoes, onion with parsley mix, pickles, and succulent Beef Doner (Gyro), this wrap comes with a choice of signature sauces: House, White Tzatziki, Red Chili, Tahini Tarator, or Garlic Shawarma Spread. Dive into the flavors of the Mediterranean with every bite.",beef_and_lamb_doner_wrap,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
Y42DAPTIIY6VAZLYDQCRWQFF,Beef&Lamb Döner (Shawarma) Pita,Regular,,"Tender slices of seasoned beef and lamb döner shawarma, served in a warm pita, with fresh vegetables and a drizzle of tangy yogurt sauce.","PITA, PITA SANDWICHES",PITA,Flavorful Beef N Lamb Doner Pita - Authentic Mediterranean Sandwich from Istanbul Mediterranean Las Vegas,"Experience the authentic taste of the Mediterranean with Istanbul Mediterranean's Beef N Lamb Doner (Shawarma) Pita in Las Vegas. This pita sandwich, packed with fresh veggies, tangy pickles, and flavorful Doner, also known as Shawarma, offers a unique, personalized culinary journey. Choose your favorite from our range of signature sauces to complete your meal.",beef_and_lamb_doner_pita,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
G2DSFAIKCGP4XPUYBJQPMXHA,Beef&Lamb Döner (Shawarma) Salad Bowl,Regular,,"Experience the perfect blend of flavors with our Beef & Lamb Döner (Shawarma) Salad Bowl. Crafted with the finest beef and lamb shawarma doner, this salad is a testament to fresh ingredients and a healthy dining choice. Elevate your taste buds with this nutritious and satisfying meal option today.",SALAD BOWLS,SALAD BOWLS,,,,,visible,Physical good,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
7PAYSNFWJBKGZSNEEL6TCMLE,Beef&Lamb Döner (Shawarma) Turkish Pita,Regular,,"Experience our Halal Beef & Lamb Turkish Pita: Marinated for 3 days, thinly sliced & cooked on a vertical rotisserie. Served with fresh veggies & homemade sauces in our signature, freshly baked Turkish Pita. A must-try masterpiece!","TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342), TURKISH PITA (QOZWUEBYZ2KZA6Z4AHWDXN4T)",TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342),,,,,visible,Physical good,,,,N,N,Y,Y,16.68,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
RPOVT4LLUDTD7RTOEN34H4WE,Chicken Döner (Shawarma) French Fries Bowl,Regular,,"Tender halal chicken döner shawarma served on a bed of crispy french fries, complemented by fresh veggies and drizzled with a savory sauce.","FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA), FRENCH FRIES BOWLS (RKHD4AFXLHUKNRYMFBDSGHUV)",FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA),Delicious Chicken Doner French Fries Bowl - Mediterranean Fusion at Istanbul Mediterranean Las Vegas,"Enjoy the delectable Chicken Doner French Fries Bowl, featuring golden fries topped with tender halal-certified chicken Doner, fresh lettuce, juicy tomatoes, and aromatic red onions. Customize your bowl with our range of signature sauces: House, White Garlic, Red Hot, Tahini, or Shawarma Garlic Spread. Experience a burst of Mediterranean flavors in every bite.",chicken_doner_french_fries_bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
KIDOYWV4ZNTNWHZ6KG6UQHNT,Chicken Döner (Shawarma) Lavash Wrap,Regular,,"Indulge in our original homemade Chicken Doner Wrap, crafted with care and filled with a delightful combination of fresh lettuce, tomatoes, onion with parsley mix, pickles, and succulent Chicken Doner (Shawarma). Customize your wrap with your choice of our tantalizing sauces: House, White Tzatziki, Red Chili or Tahini. Experience a burst of authentic Mediterranean flavors in every bite with our Chicken Doner Wrap.","LAVASH WRAPS > LAVASH WRAPS, LAVASH WRAPS",LAVASH WRAPS > LAVASH WRAPS,Delicious Chicken Doner Wrap - Authentic Mediterranean Delight at Istanbul Mediterranean Las Vegas,"Enjoy our flavorful Chicken Doner Wrap, a heavenly blend of succulent Chicken Doner (Gyro-Shawarma) wrapped in our original homemade lavash. Packed with fresh lettuce, tomatoes, onion with parsley mix, pickles, and your choice of signature sauces, it's a taste of the Mediterranean you won't want to miss.",chicken-doner-wrap,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
GZ2IUNHY3JWBYRDN3RG6KFEE,Chicken Döner (Shawarma) Pita,Regular,,"Indulge in our savory Chicken Doner (Shawarma) Pita, featuring soft pita bread. Stuffed with fresh lettuce, tomatoes, onion with parsley mix, pickles, and succulent Chicken Doner (Gyro), it's a flavor-packed delight. Customize your pita with a choice of our signature sauces: House, White Tzatziki, Red Chili, Tahini. Experience the taste of the Mediterranean in every bite with Istanbul Mediterranean's Chicken Doner Pita.","PITA, PITA SANDWICHES",PITA,Savory Chicken Doner (Shawarma) Pita - Authentic Mediterranean Delight at Istanbul Mediterranean Las Vegas,"Experience the flavorful delight of our Chicken Doner Shawarma Pita at Istanbul Mediterranean Las Vegas. Prepared with soft pita bread topped with sesame seeds, this mouthwatering dish features a filling of fresh lettuce, tomatoes, onion with parsley mix, pickles, and succulent Chicken Doner Shawarma. Customize your pita with a choice of our signature sauces: House, White Tzatziki, Red Chili, Tahini Tarator, or Garlic Shawarma Spread. Enjoy the authentic taste of the Mediterranean with every bite.",chicken_pita_doner,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
RVFIFKFGKP3LDM2VA6BCMPSR,Chicken Döner (Shawarma) Rice Bowl,Regular,,"Savor our Chicken Doner Rice Bowl. Fresh shaved Chicken Doner (Shawarma) served over seasoned rice with lettuce, tomatoes, onion with parsley mix, pickles. Customize with House, White Tzatziki, Red Chili or Tahini. A delicious Mediterranean experience in a bowl","RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ), RICE BOWLS (IDO6JTCI633SZK6UIZRWWMFQ)",RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ),Mouthwatering Chicken Doner Rice Bowl - Authentic Mediterranean Delight at Istanbul Mediterranean Las Vegas,"Experience the mouthwatering flavors of our Chicken Doner Rice Bowl at Istanbul Mediterranean Las Vegas. Indulge in fresh shaved Chicken Doner (Gyro) served over seasoned rice, accompanied by crisp lettuce, tomatoes, onion with parsley mix, and tangy pickles. Customize your bowl with your choice of signature sauces: House, White Tzatziki, Red Chili, Tahini, or Garlic Shawarma Spread. Enjoy a delectable taste of the Mediterranean in every bite with our Chicken Doner Rice Bowl.",chicken_doner_rice_bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
ZBRNBQ2SC234MGRRTAIYOZLI,Chicken Döner (Shawarma) Salad Bowl,Regular,,Experience the perfect blend of flavors with our Chicken Döner (Shawarma) Salad Bowl. Indulge in succulent marinated chicken shawarma paired with fresh and crisp salad ingredients for a truly satisfying and healthy meal option. Elevate your lunch or dinner routine with this delicious and nutritious choice today!,SALAD BOWLS,SALAD BOWLS,,,,,visible,Physical good,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
CW62476JLTZIMZS5RRSDKTFS,Chicken Döner (Shawarma) Turkish Pita,Regular,,"Indulge in the tantalizing flavors of our Chicken Döner (Shawarma) Turkish Pita. Made with succulent chicken shawarma in a fresh Turkish pita bread, this dish is a culinary delight that will transport your taste buds to the streets of Turkey. Experience the perfect blend of savory spices and tender meat in every bite. Elevate your dining experience with our authentic Chicken Döner (Shawarma) Turkish Pita today!","TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342), TURKISH PITA (QOZWUEBYZ2KZA6Z4AHWDXN4T)",TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342),,,,,visible,Physical good,,,,N,N,Y,Y,16.68,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
VW5NJRIRRRNNFVYSV4FWOXFE,Chikofte Pita Sandwich,Regular,,,PITA,PITA,,,,,unavailable,Physical good,,,,N,N,N,N,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
JAAEVU7BAN25NJSGPMRHAGYE,Chikofte Salad Bowl,Regular,,,,,,,,,unavailable,Physical good,,,,N,N,N,N,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,Y,Y,N
MG2XS2YT3TQVBT2R24DW3KYP,Chikofte Salad Bowl,Regular,,,,,,,,,unavailable,Physical good,,,,N,N,N,N,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
DGBHOC3ZFIIY6DZVFAGMUAOU,Chikofte Side,Regular,,,SIDES (P4UDVM47WMBWY7UAJDOH7BI5),SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,unavailable,Physical good,,,,N,N,N,N,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
WS2R3QPGJK3Y2FFJWFVCXDGV,Chikofte Wrap,Regular,,,LAVASH WRAPS > LAVASH WRAPS,LAVASH WRAPS > LAVASH WRAPS,,,,,unavailable,Physical good,,,,N,N,N,N,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,Y,N,N
EKFXEST6VKBGX3K5PKGDEXGJ,Coke,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
47TV3RRL4IJNSMVTDAOH5NWM,Coke Zero,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
UD6QYSWH7SVZTNVVCQXDLNQE,Diet Coke,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
YFJIG6C6RJ3L772JSLF7O7XO,Dr Pepper,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
S7UQR5ZLALBXLKOCT7LFP4NZ,Extra Pita,Regular,,"Soft and warm pita bread with a fluffy texture, perfect for dipping into your favorite spreads and sauces.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,1.00,,N,,N,,Y,,,Y,,,,,,Y,,,,,,N,N,N,N,N
37LPEXDI2OECKDNCW4OYPNMD,Falafel French Fries Bowl,Regular,,"Delight in our Falafel French Fries Bowl, a vegetarian delight that combines crispy falafel with golden fries for a satisfying meal. Topped with fresh lettuce, juicy tomatoes, tangy pickles, and your choice of sauces.","FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA), FRENCH FRIES BOWLS (RKHD4AFXLHUKNRYMFBDSGHUV)",FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA),Flavorful Falafel French Fries Bowl - Vegetarian Delight at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of crispy falafel and golden fries in our Falafel French Fries Bowl. Topped with fresh lettuce, juicy tomatoes, crunchy cucumbers, tangy pickles, and your choice of sauces: House, White Tzatziki, Red Chili, Tahini Tarator, or Garlic Shawarma Spread, this vegetarian delight is a taste of the Mediterranean you'll love. Experience a burst of flavors and textures in every bite at Istanbul Mediterranean Las Vegas.",falafel-french-fries-bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
5BFE7OK6XHIROWU42A52HXUV,Falafel Lavash Wrap,Regular,,"Enjoy our savory Falafel Lavash Wrap with homemade falafel wrapped in soft lavash bread. Filled with fresh lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles. Customize with House, White Tzatziki, Red Chili Garlic, or Tahini sauce. Wholesome Mediterranean goodness awaits at Istanbul Mediterranean","LAVASH WRAPS > LAVASH WRAPS, LAVASH WRAPS",LAVASH WRAPS > LAVASH WRAPS,Flavorful Falafel Lavash Wrap - Vegetarian Delight at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of homemade falafel wrapped in a soft and thin lavash bread in our Falafel Lavash Wrap. Filled with fresh lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles, this vegetarian delight can be customized with your choice of signature sauces: House, White Tzatziki, Red Chili Garlic, or Tahini. Enjoy the wholesome goodness of Mediterranean flavors in every bite at Istanbul Mediterranean Las Vegas",falafel-wrap,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
